IRIG Time	ARC_DECOM_STREAM_1: LEP MCP	ARC_DECOM_STREAM_1: LEP Mesh	ARC_DECOM_STREAM_1: LEP SvFix	ARC_DECOM_STREAM_1: LEP Sweep	
22:03:56.647814	31	2068	0	0	
22:03:56.669932	0	1955	68	0	
22:03:56.692050	42	2092	55	23	
22:03:56.714168	49	2130	5	11	
22:03:56.736287	35	1900	43	0	
22:03:56.758406	80	2063	0	40	
22:03:56.780523	46	2142	0	37	
22:03:56.802642	56	1914	0	31	
22:03:56.824760	17	2039	13	16	
22:03:56.846878	39	2021	0	13	
22:03:56.868997	0	2018	101	13	
22:03:56.891115	0	1988	0	43	
22:03:56.913233	55	2065	0	20	
22:03:56.935352	2	1921	0	28	
22:03:56.957470	52	1939	0	34	
22:03:56.979588	18	1996	44	0	
22:03:57.001707	59	2100	0	39	
22:03:57.023825	49	2027	0	0	
22:03:57.045944	9	2003	26	9	
22:03:57.068062	0	2141	0	11	
22:03:57.090180	42	2181	30	52	
22:03:57.112298	45	2114	54	23	
22:03:57.134417	0	2035	0	0	
22:03:57.156535	42	1953	0	0	
22:03:57.178654	26	2145	16	23	
22:03:57.200772	27	2039	99	0	
22:03:57.222891	0	2016	8	20	
22:03:57.245009	26	2039	0	0	
22:03:57.267127	39	2239	71	0	
22:03:57.289246	74	2146	71	21	
22:03:57.311364	53	2133	39	27	
22:03:57.333482	45	2002	0	57	
22:03:57.355600	18	1994	24	28	
22:03:57.377719	35	2029	16	40	
22:03:57.399837	39	2071	31	0	
22:03:57.421956	0	2021	0	63	
22:03:57.444074	32	1956	44	0	
22:03:57.466192	77	1969	0	24	
22:03:57.488311	31	2045	43	47	
22:03:57.510429	0	1973	130	0	
22:03:57.532547	42	1931	48	32	
22:03:57.554665	0	2057	38	0	
22:03:57.576784	0	2138	0	36	
22:03:57.598902	72	2091	24	0	
22:03:57.621021	37	2006	0	27	
22:03:57.643139	11	2040	29	0	
22:03:57.665257	42	2022	85	14	
22:03:57.687376	0	1972	64	0	
22:03:57.709494	0	2127	22	16	
22:03:57.731613	0	1999	0	0	
22:03:57.753731	47	2034	0	55	
22:03:57.775849	39	2033	0	25	
22:03:57.797968	37	2062	0	57	
22:03:57.820086	54	2075	0	2	
22:03:57.842204	22	2122	0	0	
22:03:57.864322	27	2068	10	38	
22:03:57.886440	50	2133	5	54	
22:03:57.908559	32	1990	2	0	
22:03:57.930678	0	2149	30	17	
22:03:57.952796	7	2017	4	0	
22:03:57.974914	65	2039	0	0	
22:03:57.997032	0	1842	1	0	
22:03:58.019151	86	2028	24	4	
22:03:58.041270	27	2047	32	29	
22:03:58.063387	58	2082	1	64	
22:03:58.085506	0	2128	23	0	
22:03:58.107624	0	2092	0	0	
22:03:58.129743	38	2161	28	32	
22:03:58.151861	57	2071	17	49	
22:03:58.173979	32	2013	0	0	
22:03:58.196098	89	2081	26	43	
22:03:58.218216	30	2158	49	37	
22:03:58.240334	29	2041	0	66	
22:03:58.262452	21	2024	0	11	
22:03:58.284571	4	2096	41	10	
22:03:58.306689	0	2224	176	31	
22:03:58.328808	0	2006	5	0	
22:03:58.350926	0	2060	39	0	
22:03:58.373045	17	2027	28	39	
22:03:58.395163	0	2210	67	10	
22:03:58.417281	53	2030	0	0	
22:03:58.439400	52	2177	3	0	
22:03:58.461518	31	2164	0	7	
22:03:58.483636	93	2018	0	8	
