128.10  207094.3  69.79667  15.27376    610.75   -318.22  -1657.01
129.10  208753.6  69.80181  15.26577    610.71   -318.18  -1647.78
130.10  210403.7  69.80695  15.25778    610.67   -318.13  -1638.55
131.10  212044.7  69.81208  15.24979    610.62   -318.09  -1629.33
132.10  213676.4  69.81721  15.24181    610.58   -318.05  -1620.11
133.10  215299.1  69.82233  15.23382    610.54   -318.00  -1610.90
134.10  216912.6  69.82746  15.22583    610.49   -317.96  -1601.69
135.10  218517.0  69.83259  15.21784    610.45   -317.91  -1592.49
136.10  220112.2  69.83771  15.20985    610.40   -317.86  -1583.29
137.10  221698.3  69.84283  15.20186    610.36   -317.82  -1574.10
138.10  223275.3  69.84795  15.19388    610.31   -317.77  -1564.91
139.10  224843.1  69.85306  15.18589    610.26   -317.72  -1555.72
140.10  226401.9  69.85817  15.17790    610.21   -317.67  -1546.54
141.10  227951.5  69.86328  15.16991    610.16   -317.62  -1537.36
142.10  229492.0  69.86839  15.16192    610.11   -317.56  -1528.19
143.10  231023.5  69.87349  15.15393    610.06   -317.51  -1519.02
144.10  232545.8  69.87859  15.14595    610.01   -317.46  -1509.86
145.10  234059.0  69.88369  15.13796    609.96   -317.40  -1500.70
146.10  235563.2  69.88879  15.12997    609.90   -317.35  -1491.54
147.10  237058.2  69.89388  15.12198    609.85   -317.29  -1482.39
148.10  238544.2  69.89897  15.11399    609.79   -317.23  -1473.25
149.10  240021.1  69.90407  15.10600    609.74   -317.17  -1464.10
150.10  241488.9  69.90916  15.09801    609.68   -317.11  -1454.96
151.10  242947.7  69.91424  15.09002    609.62   -317.05  -1445.83
152.10  244397.4  69.91933  15.08203    609.56   -316.99  -1436.70
153.10  245838.0  69.92441  15.07404    609.50   -316.93  -1427.57
154.10  247269.5  69.92948  15.06605    609.44   -316.87  -1418.45
155.10  248692.0  69.93456  15.05806    609.38   -316.80  -1409.33
156.10  250105.5  69.93964  15.05007    609.32   -316.74  -1400.21
157.10  251509.9  69.94471  15.04208    609.26   -316.67  -1391.10
158.10  252905.3  69.94978  15.03409    609.20   -316.61  -1381.99
159.10  254291.6  69.95485  15.02610    609.13   -316.54  -1372.89
160.10  255668.9  69.95992  15.01810    609.07   -316.47  -1363.79
161.10  257037.2  69.96498  15.01011    609.00   -316.40  -1354.69
162.10  258396.4  69.97004  15.00212    608.94   -316.33  -1345.60
163.10  259746.6  69.97510  14.99413    608.87   -316.26  -1336.51
164.10  261087.8  69.98016  14.98614    608.80   -316.19  -1327.43
165.10  262420.0  69.98521  14.97814    608.73   -316.12  -1318.35
166.10  263743.2  69.99027  14.97015    608.66   -316.05  -1309.27
167.10  265057.3  69.99532  14.96216    608.59   -315.97  -1300.19
168.10  266362.5  70.00037  14.95416    608.52   -315.90  -1291.12
169.10  267658.6  70.00542  14.94617    608.45   -315.82  -1282.06
170.10  268945.8  70.01047  14.93817    608.38   -315.74  -1272.99
171.10  270223.9  70.01551  14.93018    608.30   -315.67  -1263.93
172.10  271493.1  70.02055  14.92218    608.23   -315.59  -1254.88
173.10  272753.3  70.02560  14.91418    608.16   -315.51  -1245.82
174.10  274004.5  70.03063  14.90619    608.08   -315.43  -1236.77
175.10  275246.7  70.03567  14.89819    608.00   -315.35  -1227.73
176.10  276479.9  70.04070  14.89019    607.93   -315.27  -1218.68
177.10  277704.2  70.04574  14.88220    607.85   -315.19  -1209.65
178.10  278919.4  70.05077  14.87420    607.77   -315.10  -1200.61
179.10  280125.8  70.05579  14.86620    607.69   -315.02  -1191.58
180.00  281203.8  70.06032  14.85900    607.62   -314.94  -1183.45
180.00  281203.8  70.06032  14.85900    607.62   -314.94  -1183.45
180.10  281323.1  70.06082  14.85820    607.61   -314.93  -1182.55
181.10  282511.5  70.06585  14.85020    607.53   -314.85  -1173.52
182.10  283690.9  70.07087  14.84220    607.45   -314.76  -1164.50
183.10  284861.4  70.07590  14.83420    607.37   -314.67  -1155.48
184.10  286022.9  70.08092  14.82620    607.28   -314.58  -1146.46
185.10  287175.5  70.08594  14.81820    607.20   -314.49  -1137.45
186.10  288319.1  70.09095  14.81020    607.11   -314.40  -1128.44
187.10  289453.8  70.09596  14.80219    607.03   -314.31  -1119.43
188.10  290579.5  70.10098  14.79419    606.94   -314.22  -1110.43
