#    Time  Long.axis      Spin1      Spin2
   6.3145 -0.9479720 -0.0808701 -0.3079109
   6.3490 -0.9486999 -0.0285483 -0.3148864
   6.3850 -0.9531189  0.0316223 -0.3009392
   6.4195 -0.9558439  0.0891773 -0.2800176
   6.4541 -0.9569039  0.1441166 -0.2521215
   6.4886 -0.9572051  0.1912080 -0.2172508
   6.5232 -0.9558694  0.2356835 -0.1754054
   6.5578 -0.9560522  0.2644623 -0.1265853
   6.5923 -0.9550076  0.2880091 -0.0707904
   6.6269 -0.9534774  0.3010912 -0.0149951
   6.6614 -0.9521643  0.3037086  0.0338262
   6.6960 -0.9518273  0.2932450  0.0896225
   6.7306 -0.9516734  0.2775489  0.1314701
   6.7651 -0.9516341  0.2487714  0.1802926
   6.7997 -0.9522348  0.2095287  0.2221409
   6.8342 -0.9526581  0.1624369  0.2570150
   6.8688 -0.9522074  0.1101122  0.2849147
   6.9034 -0.9525441  0.0577871  0.2988652
   6.9397 -0.9498108 -0.0023874  0.3128159
   6.9742 -0.9518834 -0.0677949  0.2988677
   7.0088 -0.9499708 -0.1279704  0.2849194
   7.0433 -0.9470209 -0.1829138  0.2639963
   7.0779 -0.9506573 -0.2300087  0.2081989
   7.1125 -0.9473436 -0.2692551  0.1733255
   7.1470 -0.9481110 -0.2954200  0.1175271
   7.1816 -0.9483074 -0.3137360  0.0477783
   7.2161 -0.9477308 -0.3189703 -0.0080212
   7.2507 -0.9477292 -0.3111226 -0.0707963
   7.2853 -0.9478472 -0.2954256 -0.1196219
   7.3198 -0.9463777 -0.2666463 -0.1823981
   7.3544 -0.9446780 -0.2326339 -0.2312247
   7.3889 -0.9454034 -0.1881554 -0.2661015
   7.4235 -0.9503269 -0.1358271 -0.2800531
   7.4581 -0.9479566 -0.0808818 -0.3079552
   7.4926 -0.9511145 -0.0233194 -0.3079567
   7.5286 -0.9530145  0.0342434 -0.3009830
   7.5631 -0.9553279  0.0944234 -0.2800585
   7.5980 -0.9574889  0.1519874 -0.2451831
   7.6326 -0.9571497  0.1990858 -0.2103074
   7.6671 -0.9556763  0.2461846 -0.1614806
   7.7017 -0.9548308  0.2749680 -0.1126533
   7.7363 -0.9539154  0.2959019 -0.0498746
   7.7708 -0.9518942  0.3063696  0.0059292
   7.8054 -0.9524043  0.2985213  0.0617335
   7.8399 -0.9519432  0.2828231  0.1175384
   7.8745 -0.9509314  0.2514249  0.1803194
   7.9091 -0.9527923  0.2069433  0.2221740
   7.9436 -0.9511773  0.1598446  0.2640291
   7.9782 -0.9536149  0.0970454  0.2849575
   8.0127 -0.9515426  0.0316291  0.3058861
   8.0487 -0.9514678 -0.0337880  0.3058879
   8.0832 -0.9491095 -0.0992058  0.2989137
   8.1178 -0.9503598 -0.1646243  0.2640361
   8.1524 -0.9499585 -0.2195766  0.2221822
   8.1869 -0.9493162 -0.2666792  0.1663759
   8.2215 -0.9496380 -0.2980818  0.0966172
   8.2560 -0.9482453 -0.3164009  0.0268576
   8.2906 -0.9485240 -0.3137858 -0.0429027
   8.3252 -0.9478667 -0.2980867 -0.1126637
   8.3597 -0.9489442 -0.2666865 -0.1684733
   8.3943 -0.9471776 -0.2222018 -0.2312597
   8.4288 -0.9482391 -0.1620155 -0.2731181
   8.4634 -0.9506275 -0.0992117 -0.2940483
   8.4980 -0.9531062 -0.0311735 -0.3010262
   8.5339 -0.9548619  0.0420992 -0.2940516
   8.5685 -0.9576193  0.1101390 -0.2661478
   8.6030 -0.9569186  0.1755625 -0.2312673
   8.6376 -0.9564844  0.2331360 -0.1754571
   8.6721 -0.9556146  0.2750084 -0.1056934
   8.7067 -0.9526017  0.3011795 -0.0429055
   8.7413 -0.9504495  0.3090321  0.0338362
   8.7758 -0.9511151  0.2933319  0.0966256
   8.8104 -0.9511056  0.2645464  0.1594157
   8.8449 -0.9481821  0.2200585  0.2291831
   8.8795 -0.9511627  0.1598680  0.2640678
   8.9141 -0.9524977  0.0865915  0.2919762
   8.9500 -0.9497490  0.0080802  0.3129081
   8.9846 -0.9490414 -0.0756662  0.3059330
   9.0191 -0.9468832 -0.1489452  0.2850043
   9.0537 -0.9465712 -0.2196080  0.2361678
   9.0882 -0.9478150 -0.2719518  0.1663999
   9.1228 -0.9462730 -0.3085934  0.0966311
   9.1574 -0.9449655 -0.3269154  0.0129075
   9.1919 -0.9441954 -0.3216830 -0.0708172
   9.2265 -0.9449375 -0.2955131 -0.1405886
   9.2610 -0.9441479 -0.2536397 -0.2103609
   9.2956 -0.9437732 -0.1960624 -0.2661797
   9.3302 -0.9453220 -0.1253983 -0.3010675
   9.3647 -0.9479251 -0.0468815 -0.3150239
   9.4007 -0.9506559  0.0368708 -0.3080486
   9.4380 -0.9543749  0.1206241 -0.2731638
   9.4726 -0.9555555  0.1912920 -0.2243236
   9.5071 -0.9530782  0.2514914 -0.1685054
   9.5417 -0.9516905  0.2907529 -0.0987315
   9.5762 -0.9481948  0.3169282 -0.0219792
   9.6108 -0.9455560  0.3195475  0.0617515
   9.6454 -0.9452683  0.2986104  0.1315281
   9.6799 -0.9467441  0.2567338  0.1943279
   9.7145 -0.9456338  0.1991523  0.2571284
   9.7490 -0.9480944  0.1258656  0.2920187
   9.7836 -0.9467228  0.0368732  0.3199316
   9.8195 -0.9461459 -0.0495027  0.3199336
   9.8541 -0.9449016 -0.1332623  0.2990020
   9.8887 -0.9459158 -0.2065529  0.2501584
